"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2024-07-03","11:15:00",5522.81,"52 Jul 3 5550 C STO 0.10 | 52 Jul 3 5550 P STO 27.90 | 52 Jul 3 5580 C BTO 0.05 | 52 Jul 3 5520 P BTO 3.40",2450,5537.02,"2024-07-03","13:00:00",1298,"Expired",59644,46.816326530612244,52,1983582,28600,"",260,8.12,161.5,-1.57,15.37,53.88,-6.73
"2024-07-02","11:15:00",5478.79,"31 Jul 2 5505 C STO 0.60 | 31 Jul 2 5505 P STO 26.50 | 31 Jul 2 5535 C BTO 0.10 | 31 Jul 2 5475 P BTO 5.90",2105,5509.01,"2024-07-02","16:00:00",401,"Expired",52669,80.7125890736342,31,1923938,27745,"",155,4.52,44,-13.25,16.95,89.55,-13.3
"2024-06-24","11:15:00",5481.73,"27 Jun 24 5505 C STO 1.00 | 27 Jun 24 5505 P STO 23.45 | 27 Jun 24 5535 C BTO 0.10 | 27 Jun 24 5475 P BTO 4.50",1980,5447.87,"2024-06-24","16:00:00",3000,"Expired",-27675,-51.76767676767676,27,1871269,27540,"",135,5.32,2.152,-5.04,22.15,5.3,-56.57
"2024-06-12","11:15:00",5434.86,"33 Jun 12 5460 C STO 6.20 | 33 Jun 12 5460 P STO 31.30 | 33 Jun 12 5490 C BTO 1.20 | 33 Jun 12 5430 P BTO 14.80",2145,5421.03,"2024-06-12","16:00:00",3000,"Expired",-28380,-40.0932400932401,33,1898944,28215,"",165,2.34,3.601,33.81,25.73,33.57,-39.86
"2024-06-05","11:15:00",5325.31,"28 Jun 5 5350 C STO 1.10 | 28 Jun 5 5350 P STO 25.95 | 28 Jun 5 5380 C BTO 0.10 | 28 Jun 5 5320 P BTO 6.85",2005,5354.03,"2024-06-05","16:00:00",403,"Expired",44716,79.6508728179551,28,1927324,27860,"",140,3.89,32,23.14,10.83,84.54,-0.75
"2024-05-24","11:15:00",5311.2,"28 May 24 5335 C STO 1.15 | 28 May 24 5335 P STO 24.50 | 28 May 24 5365 C BTO 0.10 | 28 May 24 5305 P BTO 5.70",1980,5304.72,"2024-05-24","16:00:00",3000,"Expired",-28700,-51.76767676767676,28,1882608,28560,"",140,4.42,20.433,13.61,29.75,0,-51.77
"2024-05-21","11:15:00",5312.72,"40 May 21 5340 C STO 0.25 | 40 May 21 5340 P STO 27.05 | 40 May 21 5370 C BTO 0.05 | 40 May 21 5310 P BTO 4.15",2305,5321.41,"2024-05-21","16:00:00",1859,"Expired",17640,19.13232104121475,40,1911308,27800,"",200,6.5,174.5,-9.44,14.03,32.54,-15.62
"2024-05-20","11:15:00",5321.73,"29 May 20 5345 C STO 0.35 | 29 May 20 5345 P STO 23.25 | 29 May 20 5375 C BTO 0.05 | 29 May 20 5315 P BTO 3.20",2030,5308.13,"2024-05-20","16:00:00",3000,"Expired",-28275,-48.029556650246306,29,1893668,28130,"",145,7.26,4.83,2.08,16.38,10.84,-48.28
"2024-05-15","11:15:00",5290.79,"30 May 15 5315 C STO 0.85 | 30 May 15 5315 P STO 24.90 | 30 May 15 5345 C BTO 0.10 | 30 May 15 5285 P BTO 4.95",2065,5308.15,"2024-05-15","16:00:00",685,"Expired",41250,66.58595641646488,30,1921943,28050,"",150,5.1,65.5,16.58,27.53,81.36,-12.11
"2024-05-09","11:15:00",5206.38,"29 May 9 5230 C STO 0.65 | 29 May 9 5230 P STO 24.05 | 29 May 9 5260 C BTO 0.10 | 29 May 9 5200 P BTO 4.20",2035,5214.08,"2024-05-09","16:00:00",1592,"Expired",12702,21.523341523341525,29,1880693,27985,"",145,5.74,148.5,1.36,17.35,26.29,-21.38
"2024-05-08","11:15:00",5184.55,"31 May 8 5210 C STO 0.65 | 31 May 8 5210 P STO 25.80 | 31 May 8 5240 C BTO 0.10 | 31 May 8 5180 P BTO 5.25",2105,5187.67,"2024-05-08","16:00:00",2233,"Expired",-4123,-6.318289786223278,31,1867991,27745,"",155,4.94,229,-18.72,15.57,11.88,-23.04
"2024-05-06","11:15:00",5156.47,"27 May 6 5180 C STO 0.65 | 27 May 6 5180 P STO 24.65 | 27 May 6 5210 C BTO 0.10 | 27 May 6 5150 P BTO 5.05",2010,5180.74,"2024-05-06","16:00:00",74,"Expired",52137,96.06965174129353,27,1872114,26730,"",135,4.91,8,14.63,14.05,96.32,-10.7
"2024-04-26","11:15:00",5096.72,"27 Apr 26 5120 C STO 2.80 | 27 Apr 26 5120 P STO 26.20 | 27 Apr 26 5150 C BTO 0.30 | 27 Apr 26 5090 P BTO 8.50",2015,5099.96,"2024-04-26","16:00:00",2004,"Expired",162,0.2977667493796526,27,1819977,26595,"",135,3.3,214.5,36.23,12.07,54.34,-2.23
"2024-04-23","11:15:00",5063.98,"30 Apr 23 5090 C STO 2.05 | 30 Apr 23 5090 P STO 28.40 | 30 Apr 23 5120 C BTO 0.25 | 30 Apr 23 5060 P BTO 9.15",2100,5070.55,"2024-04-23","16:00:00",1945,"Expired",4500,7.142857142857142,30,1819815,27000,"",150,3.24,186.5,18.25,35.13,30.24,-10
